course_title,instructor,duration_minutes,views,likes,comments,views_per_day,engagement_rate,platform,course_url,success_label
python programming|python for beginners|python full course,Monu institute ,0.183333333,768220,13713,126,3540.184332,0.018014371,YouTube,https://www.youtube.com/watch?v=80yIVH2aOy0,1
Python for Everybody - Full University Python Course,freeCodeCamp.org,820.1666667,7545058,195012,5067,3088.439623,0.026517888,YouTube,https://www.youtube.com/watch?v=8DvywoWv6fI,1
Python Syllabus | Python for Beginners | Complete Python Course #pythonlearning,SHRAY SALVI,0.083333333,739087,7684,12,1035.135854,0.010412847,YouTube,https://www.youtube.com/watch?v=WCM65ION4nE,1
Python for AI - Full Beginner Course,Dave Ebbelaar,315.5166667,239259,7720,635,3028.594937,0.034920316,YouTube,https://www.youtube.com/watch?v=ygXn5nV5qFc,1
🎯Top 5 YouTube Channels for Python Programming | Python for Beginners✅ #shorts #sunstone #python,Sunstone ,0.216666667,132188,1008,491,671.0050761,0.01133991,YouTube,https://www.youtube.com/watch?v=iJ9HRfdUjdk,0
python full course in hindi 🐍 python full course in playlist,Monu institute ,0.2,123787,1566,24,998.2822581,0.012844644,YouTube,https://www.youtube.com/watch?v=twCURhXuBp4,0
Python Full Course for Beginners to Advanced | 12 Hours Complete Tutorial + Python Book,Sheryians AI School,695.2666667,450061,9655,1262,1731.003846,0.024256712,YouTube,https://www.youtube.com/watch?v=_aWbUudZ5Yo,1
Python courses for Beginners (FREE),Broke Brothers,0.216666667,979578,45313,79,1554.885714,0.046338321,YouTube,https://www.youtube.com/watch?v=vMV1s-1BKvc,1
Python Full Course For Beginners| Job Ready Python Course by Sagar Chouksey 🔥,Coding With Sagar,300.1333333,619931,16778,2990,1943.357367,0.03188742,YouTube,https://www.youtube.com/watch?v=gPvYox9JIYI,1
Python Tutorial - Python Full Course for Beginners in Tamil,Error Makes Clever,578.0666667,6809373,161026,5909,7369.451299,0.024515473,YouTube,https://www.youtube.com/watch?v=m67-bOpOoPU,1
Python full course in telugu in 1 hour | Complete python course | Vamsi Bhavani,Vamsi Bhavani,55.33333333,1332037,49881,682,959.6808357,0.037959156,YouTube,https://www.youtube.com/watch?v=WHY3bz5_QdI,1
Harvard CS50’s Artificial Intelligence with Python – Full University Course,freeCodeCamp.org,711.3666667,4352678,119979,1714,4935.00907,0.02795819,YouTube,https://www.youtube.com/watch?v=5NgNicANyqM,1
Python Full Course 2026 | Beginner to Advanced with AI Projects | Saumya Singh,Saumya Singh,35.4,103463,5466,1920,1696.114754,0.071387839,YouTube,https://www.youtube.com/watch?v=s5MJpRBQLgo,0
The Ultimate Python Roadmap: From Beginner to Expert in 2025!,Pynade Devs,0.15,1042947,18483,99,1183.821793,0.017816821,YouTube,https://www.youtube.com/watch?v=5B41CPvYMjY,1
Python Basics: The Best Way to Learn Python Programming (2024),Monu institute ,0.15,1584746,22242,200,4214.75,0.01416126,YouTube,https://www.youtube.com/watch?v=GfWRxr1OBm4,1
Python for Beginners - Learn Coding with Python in 1 Hour,Programming with Mosh,60.1,23383183,534904,26803,12053.18711,0.024021837,YouTube,https://www.youtube.com/watch?v=kqtD5dpn9C8,1
"Python Roadmap for Beginners! 🐍 Learn Python Programming Step-by-Step"" #python #conding",Mission Adda,0.083333333,2091054,29391,87,3662.091068,0.014097197,YouTube,https://www.youtube.com/watch?v=IfKlGhRc7Dc,1
Learn Python in Less than 10 Minutes for Beginners (Fast & Easy),Indently,10.5,1174214,27286,682,695.6244076,0.023818486,YouTube,https://www.youtube.com/watch?v=fWjsdhR3z3c,1
Chapter 02 - Data Types & Operators in Python | Python Full Course 2026 | Saumya Singh,Saumya Singh,63.65,21650,917,541,366.9491525,0.067344111,YouTube,https://www.youtube.com/watch?v=5lDKZio6njw,0
python full course in hindi 🐍 python for beginners.#python,Monu institute ,0.183333333,131265,2058,21,426.1850649,0.01583819,YouTube,https://www.youtube.com/watch?v=jQZNIs4JksA,0
Chapter 01 - Python Variables & Fundamentals | Python Full Course 2026 | Saumya Singh,Saumya Singh,42.85,42908,1742,660,715.1333333,0.055980237,YouTube,https://www.youtube.com/watch?v=k8XeZg1oDyY,0
Python Full Course in Hindi | Beginner to Advanced | Amit Thinks | Class 11th 12th,Amit Thinks,309.75,345306,6643,173,275.5833998,0.019739014,YouTube,https://www.youtube.com/watch?v=b97WsOM9BYg,1
Python Programming - A Full Course for Beginners (Learn Python in 2025!),Monu institute ,0.216666667,57498,775,14,383.32,0.013722216,YouTube,https://www.youtube.com/watch?v=Wghz6w0btxI,0
"Chapter 04 - Conditional Statement, List & Tuples in Python | Python Full Course 2026 | Saumya Singh",Saumya Singh,58.35,12485,600,420,227,0.081698038,YouTube,https://www.youtube.com/watch?v=IJzmIEHmDsc,0
Chapter 03 - Strings in Python | Python Full Course 2026 | Saumya Singh,Saumya Singh,54.46666667,15671,722,797,270.1896552,0.096930636,YouTube,https://www.youtube.com/watch?v=GJV61hQH5LQ,0
Python roadmap.🗺    #python #pythontutorial #coding,Aryu Academy ,0.933333333,384045,24660,90,1174.449541,0.064445573,YouTube,https://www.youtube.com/watch?v=lZ_bMqTqWrs,1
Python Full Course in *Telugu* | Zero to Hero by Swaroop | One Shot | 9 HOURS,Swaroop Talks,550.3333333,1857641,41032,1677,3005.891586,0.022990987,YouTube,https://www.youtube.com/watch?v=fHKPQEVCX-s,1
Python Full Course | Free Python Tutorial for Beginners in Hindi,DataFlair,568.4833333,637140,20859,2141,1113.881119,0.036098817,YouTube,https://www.youtube.com/watch?v=sRrkqjqTTQQ,1
I Tried 50+ Python Courses — Only 1 Gives Free Certificate & Makes You Internship Ready,Saumya Singh,9.9,20317,1162,246,3386.166667,0.06930157,YouTube,https://www.youtube.com/watch?v=jlDqDGVeTEw,0
you need to learn Python RIGHT NOW!! // EP 1,NetworkChuck,17.7,2817815,112392,5191,1752.372512,0.041728431,YouTube,https://www.youtube.com/watch?v=mRMmlo_Uqcs,1
Python full course | javascript full course | code with harry | #coding #shorts #shortsvideo,Spartan Playzz,0.316666667,2164242,49596,377,5978.569061,0.023090301,YouTube,https://www.youtube.com/watch?v=XKYMGepj7Y8,1
Automate with Python – Full Course for Beginners,freeCodeCamp.org,162.9166667,1862285,47931,380,1434.734206,0.025941787,YouTube,https://www.youtube.com/watch?v=PXMJ6FS7llk,1
Python Full Course for Beginners - Complete Programming Tutorial 2025,evlearn,714.2333333,2329,0,0,33.75362319,0,YouTube,https://www.youtube.com/watch?v=YvYKcGAfJvs,0
🔥Salary of Python Developer | Python Developer ki Salary | #Simplilearn #Shorts,Simplilearn,0.8,2198916,79711,33,6108.1,0.036265142,YouTube,https://www.youtube.com/watch?v=s6LtqKr28wA,1
15 Minute Python Tutorial For Beginners In Hindi (Full & Complete Python Crash Course),CodeWithHarry,17.61666667,1907262,64072,1863,720.8095238,0.034570499,YouTube,https://www.youtube.com/watch?v=fr1f84rg4Nw,1
Python Full Course for Beginners | Complete Python Course,Learn2Mastery,363.9,5538,197,12,149.6756757,0.037739256,YouTube,https://www.youtube.com/watch?v=zUg2sl1FMbI,0
Python Full Course | Zero to Hero in 4 Hours,Smoljames,251.25,13913,537,59,34.6957606,0.042837634,YouTube,https://www.youtube.com/watch?v=TzhjDhFjr8E,0
Python beginner course | Great for kids!,Hackingtons Code School,48.91666667,238592,3308,281,221.1232623,0.015042416,YouTube,https://www.youtube.com/watch?v=m8DXAsyaMK0,1
Python Tutorial for Beginners - Full Course (with Notes & Practice Questions),Apna College,624.85,10589732,170516,8967,15215.13218,0.016948776,YouTube,https://www.youtube.com/watch?v=ERCMXc8x7mc,1
Types of operators in Python #python #operator #type,Lakshmi Nagaraj,0.083333333,842151,8271,22,710.0767285,0.009847403,YouTube,https://www.youtube.com/watch?v=YWUMvhXamYU,1
Python Tutorial for Beginners - Full Course (with Notes & Practice Questions),Apna College,624.85,10589732,170516,8967,15215.13218,0.016948776,YouTube,https://www.youtube.com/watch?v=ERCMXc8x7mc,1
Python Full Course for Beginners - Complete Programming Tutorial 2025,evlearn,714.2333333,2329,0,0,33.75362319,0,YouTube,https://www.youtube.com/watch?v=YvYKcGAfJvs,0
FastAPI - A python framework | Full Course,Bitfumes,242.9333333,1289418,20081,948,721.1510067,0.016308908,YouTube,https://www.youtube.com/watch?v=7t2alSnE2-I,1
Types of operators in Python #python #operator #type,Lakshmi Nagaraj,0.083333333,842151,8271,22,710.0767285,0.009847403,YouTube,https://www.youtube.com/watch?v=YWUMvhXamYU,1
How to become a Senior developer.. ♥️ 😂 #programming #javascript #python #coding #developer #coder .,DIVINE CLASSES AN INSTITUTION Of EDUCATION.,0.3,6850125,206720,3034,12756.28492,0.030620463,YouTube,https://www.youtube.com/watch?v=yymyLXPbP1Y,1
-Beginner’s Roadmap to Learn Python | 2025 Starter Guide #shorts #python #pythonprogramming,Error Makes Clever,0.95,237274,15740,54,2607.406593,0.066564394,YouTube,https://www.youtube.com/watch?v=J9kP7bjwERk,1
Data Structures and Algorithms in Python - Full Course for Beginners,freeCodeCamp.org,750.8333333,3081919,70568,1109,1946.885028,0.023257263,YouTube,https://www.youtube.com/watch?v=pkYVOmU3MgA,1
FREE Python Course with Certificate | Python Full Course by Google #python #pythonprogramming,CodeHype,0.35,137454,4225,19,175.3239796,0.030875784,YouTube,https://www.youtube.com/watch?v=wCaAW2KofeQ,1
Animation with coding | python full course | code with harry | javascript #coding #ui #css,Spartan Playzz,0.416666667,174779,3588,23,495.1246459,0.020660377,YouTube,https://www.youtube.com/watch?v=TgScN4sUgiM,1
Python Full Course in Telugu | Python Tutorials in Telugu | Python in Telugu | Python for Beginners,PythonLife,583.9,2234350,40465,877,2263.779129,0.01850292,YouTube,https://www.youtube.com/watch?v=h1WdbfoHeac,1
What is Python With Full Information? – [Hindi] – Quick Support,Quick Support,8.933333333,2089036,75111,1454,909.4627775,0.036650876,YouTube,https://www.youtube.com/watch?v=3dy_PYF9xOI,1
How to learn python in mobile #viral #python #tutorial #code,PS CodingYT,0.333333333,608050,12329,87,694.1210046,0.020419373,YouTube,https://www.youtube.com/watch?v=VNOz6vEHjEY,1
Python Tutorial for Beginners in Hindi | Complete Python Course (Part1),Rishabh Mishra,551.8666667,223840,4779,417,785.4035088,0.023213009,YouTube,https://www.youtube.com/watch?v=wloM0N_IMaw,1
Chapter 07 - Functions in Python | Python Full Course 2026 | Saumya Singh,Saumya Singh,56.88333333,8835,437,396,200.7954545,0.094284097,YouTube,https://www.youtube.com/watch?v=EplHEeWhocs,0
Chapter 08 - File Handling in Python | Python Full Course 2026 | Saumya Singh,Saumya Singh,56.91666667,6985,373,285,205.4411765,0.094201861,YouTube,https://www.youtube.com/watch?v=KB8-3u0iZhU,0
Chapter 05 - Dictionary & Sets in Python | Python Full Course 2026 | Saumya Singh,Saumya Singh,47.56666667,9551,557,509,180.2075472,0.11161135,YouTube,https://www.youtube.com/watch?v=WN0E2hjtcFg,0
15 Minute Python Tutorial For Beginners In Hindi (Full & Complete Python Crash Course),CodeWithHarry,17.61666667,1907262,64072,1863,720.8095238,0.034570499,YouTube,https://www.youtube.com/watch?v=fr1f84rg4Nw,1
"Python For Beginners, Python Interview Questions, Python in Telugu, Python Basics, Learn Python",SoftwareSchool - Coding Tutorials In Telugu,0.516666667,176193,8586,31,181.0822199,0.048906597,YouTube,https://www.youtube.com/watch?v=wacCvmWNhcQ,1
Chapter 09 - OOPs in Python | Python Full Course 2026 | Saumya Singh,Saumya Singh,76.73333333,9467,411,269,295.84375,0.071828457,YouTube,https://www.youtube.com/watch?v=NsCpRy68l1c,0
Complete Python Programming Roadmap (Zero to Expert) 🐍,CodeWithHarry,12.86666667,925434,33983,1425,3792.762295,0.038260967,YouTube,https://www.youtube.com/watch?v=g4Ffdh41vRQ,1
Python for Beginners: The Complete Course,Boot dev,428.4833333,304385,5474,156,529.3652174,0.018496312,YouTube,https://www.youtube.com/watch?v=4M87qBgpafk,1
Python Full Course for Absolute Beginners | Python Tutorial | Python Training 2025 | Simplilearn,Simplilearn,547.6166667,6149,243,3,78.83333333,0.040006505,YouTube,https://www.youtube.com/watch?v=BXMGINIeReM,0
OpenCV Course - Full Tutorial with Python,freeCodeCamp.org,221.7,4552866,54341,1272,2406.377378,0.012214943,YouTube,https://www.youtube.com/watch?v=oXlwWbU8l2o,1
Stop learning Python👀,Tech With Tim,0.466666667,624368,14183,419,1580.678481,0.023386849,YouTube,https://www.youtube.com/watch?v=Zsa26236rio,1
Python Tutorial with Gen AI for 2025 | Python for Beginners | Python full course,Great Learning,712.45,401922,10292,149,759.7769376,0.025977677,YouTube,https://www.youtube.com/watch?v=-65r_3r-nN4,1
Python Full Course For Beginners [Tutorial] 2023 | Python One Shot | College Wallah,College Wallah,698.9,2530107,54482,1456,3022.827957,0.022108946,YouTube,https://www.youtube.com/watch?v=XnSasPR2KJI,1
Python in Marathi Day 1 | Introduction to Python | Advantages आणि Career Roadmap | aadiandpython,Aadi and Python,88.78333333,63927,4525,245,863.8783784,0.074616359,YouTube,https://www.youtube.com/watch?v=KkrPhMrX1nM,0
Python for Beginners | Python Turtle Art | Python full course 2025 #shorts #humanity  #hearttouching,PythonMarg | Creative Python Projects,0.366666667,1908,28,8,19.875,0.018867925,YouTube,https://www.youtube.com/watch?v=lDWVZasxI90,0
Python Functions Made Simple (Visual Explanation) | #Python Course 39,Data with Baraa,18.2,2335,230,37,2335,0.114346895,YouTube,https://www.youtube.com/watch?v=FSYoWPXfJxc,0
How to Start Coding ? Learn Programming for Beginners | 2026,Apna College,24.86666667,139158,8582,717,69579,0.066823323,YouTube,https://www.youtube.com/watch?v=Ebe9NFgQnnU,1
Python Full Course 2026 Everything You Need to Know in One Video | Fastest Way to Learn Python,Full Course,548.3,5129,184,8,269.9473684,0.037434198,YouTube,https://www.youtube.com/watch?v=9hQyyALVwA8,0
Automate with Python – Full Course for Beginners,freeCodeCamp.org,162.9166667,1862285,47931,380,1434.734206,0.025941787,YouTube,https://www.youtube.com/watch?v=PXMJ6FS7llk,1
Stop Learning Python with Old Way ❌ | Learn Python with AI | Full Beginner to Advanced Python Course,Satish Dhawale,15.05,32528,1736,243,4066,0.060839892,YouTube,https://www.youtube.com/watch?v=MjYcOpkpOtk,0
All Python Syntax in 25 Minutes – Tutorial,Beau Carnes,24.98333333,208733,6895,128,237.4664391,0.033645854,YouTube,https://www.youtube.com/watch?v=PNSIWjWAA7o,1
Which Coding Language Pays More in 2025? Python vs Java.. #python  #java #courses,Aryu Academy ,0.6,259055,10506,157,797.0923077,0.041161143,YouTube,https://www.youtube.com/watch?v=VkW-KWUyrww,1
#0 Python for Beginners | Programming Tutorial,Telusko,1.1,9115430,96332,1212,3373.586232,0.010700976,YouTube,https://www.youtube.com/watch?v=QXeEoD0pB3E,1
Password generator in Python!,CodeWithHarry,0.516666667,852091,53113,247,852.9439439,0.062622419,YouTube,https://www.youtube.com/watch?v=E1kDTUf6bsA,1
python programming|python for beginners|python full course,Monu institute ,0.233333333,19738,404,10,95.352657,0.020974769,YouTube,https://www.youtube.com/watch?v=wUhUCrIirdI,0
👩‍💻 Python for Beginners Tutorial,Kevin Stratvert,63.35,4202443,91456,3121,2401.396,0.022505243,YouTube,https://www.youtube.com/watch?v=b093aqAZiPU,1
Introduction to Programming & Python | Python Tutorial - Day #1,CodeWithHarry,11.83333333,10967130,254541,32522,9645.672823,0.026174852,YouTube,https://www.youtube.com/watch?v=7wnove7K-ZQ,1
How Much A Python Developer Earn ? | Python Developer Salary In India #Shorts #simplilearn,Simplilearn,0.766666667,4981675,170893,46,8544.897084,0.034313559,YouTube,https://www.youtube.com/watch?v=o4F3G5g5H-Y,1
Python Full Course❤️ | Variables & Data Types | Lecture 1,Shradha Khapra,82.31666667,13403958,219408,9042,18799.38008,0.017043473,YouTube,https://www.youtube.com/watch?v=t2_Q2BRzeEE,1
Python Turtle Art  | Python for beginners | Python full course #shorts #python,PythonMarg | Creative Python Projects,0.45,5213,76,41,50.61165049,0.02244389,YouTube,https://www.youtube.com/watch?v=UoUxdh9IiKg,0
Python Tutorial for Beginners (with mini-projects),freeCodeCamp.org,521.9,1003449,20851,616,1191.744656,0.021393215,YouTube,https://www.youtube.com/watch?v=qwAFL1597eM,1
Do THIS instead of watching endless tutorials - how I’d learn Python FAST…,Tech With Tim,10.56666667,488009,21037,470,2059.109705,0.044070909,YouTube,https://www.youtube.com/watch?v=mB0EBW-vDSQ,1
PYTHON Full Course for Beginners in 16 Hour (with Projects + Questions) | Learn Python Tutorial,WsCube Tech,1003.566667,7617244,178417,2619,4981.846959,0.023766601,YouTube,https://www.youtube.com/watch?v=sCOw5y1RQpY,1
Python Tutorial for Beginners in Kannada 2026 | Python Full Course | MicroDegree,MicroDegree ಕನ್ನಡ,313.8666667,179968,5915,257,300.9498328,0.034294986,YouTube,https://www.youtube.com/watch?v=i5B9JPq3MbI,1
Python Full Course in Telugu with Free Notes | Dodagatta Nihar,Dodagatta Nihar,149.9833333,414513,12341,263,566.2745902,0.030406766,YouTube,https://www.youtube.com/watch?v=B25zIPZHU8w,1
Python Tutorial For Beginners in Hindi | Python Full Course in Hindi | Complete Python Tutorial,Micro Solution,394.6666667,648171,19788,309,387.6620813,0.031005707,YouTube,https://www.youtube.com/watch?v=aXemrB2ATdA,1
🔥Salary of Python Developer #simplilearn  #shorts,Simplilearn,0.583333333,494920,12641,2,1430.404624,0.025545543,YouTube,https://www.youtube.com/watch?v=143HUOjEBcs,1
Object Oriented Programming with Python - Full Course for Beginners,freeCodeCamp.org,132.5833333,2286823,48975,1300,1477.27584,0.021984649,YouTube,https://www.youtube.com/watch?v=Ej_02ICOIgs,1
What is Python (Visually Explained) | How It Works and How to Learn It | #Python Course 1,Data with Baraa,10.78333333,122871,4526,549,461.9210526,0.041303481,YouTube,https://www.youtube.com/watch?v=GRNI9T9R8gQ,0
Python Project - 02  Personal Chat Assistant | Python Full Course 2026 | Saumya Singh,Saumya Singh,29.51666667,10734,551,221,268.35,0.071920999,YouTube,https://www.youtube.com/watch?v=hb2BkcZ1Yk0,0
Learn Python in Only 30 Minutes (Beginner Tutorial),Indently,30.7,447843,13830,277,1076.545673,0.031499878,YouTube,https://www.youtube.com/watch?v=Ro_MScTDfU4,1
#0 Python for Beginners | Programming Tutorial,Telusko,1.1,9115430,96332,1212,3373.586232,0.010700976,YouTube,https://www.youtube.com/watch?v=QXeEoD0pB3E,1
How I Would Learn Python FAST (if I could start over),Thu Vu,12.31666667,1528979,53638,1059,2691.864437,0.035773546,YouTube,https://www.youtube.com/watch?v=St48epdRDZw,1
Python As Fast as Possible - Learn Python in ~75 Minutes,Tech With Tim,79.68333333,2137433,60837,1471,1112.087929,0.029150855,YouTube,https://www.youtube.com/watch?v=VchuKL44s6E,1
Python Tutorial 2026,Telusko,5.35,47945,941,42,448.0841121,0.020502659,YouTube,https://www.youtube.com/watch?v=YZkyL-f-YXY,0
I Tried 50 Python Courses. Here Are Top 5.,Pooja Dutt,9.7,94379,2950,130,385.2204082,0.032634378,YouTube,https://www.youtube.com/watch?v=lsqJn0DU5wI,0
How to Learn Python for Data Engineers Fast (2026 Step-By-Step Guide),Data with Baraa,16.93333333,34937,1788,133,3881.888889,0.054984687,YouTube,https://www.youtube.com/watch?v=GRo-HX_Ova8,0
Python Project - 01 Personal Finance App - Expense Tracker | Python Full Course 2026 | Saumya Singh,Saumya Singh,54.36666667,20534,858,313,427.7916667,0.057027369,YouTube,https://www.youtube.com/watch?v=mJLI-99RhbM,0
Easiest Programming language to start with to earn money,ezSnippet,0.5,2618815,117607,951,2747.96957,0.045271621,YouTube,https://www.youtube.com/watch?v=av83kx_YGa0,1
Python Programming Malayalam Tutorial,Yes Tech Media,145.3,661103,15057,631,351.8376796,0.023730039,YouTube,https://www.youtube.com/watch?v=ihnWXGPxNEk,1
python programming|python for beginners|python full course,Webstar Infotech,0.133333333,2806,0,0,24.61403509,0,YouTube,https://www.youtube.com/watch?v=a0PJecPH9Tg,0
OOP in Python | Object Oriented Programming,Telusko,105.3166667,2022638,37149,1422,775.2541204,0.019069651,YouTube,https://www.youtube.com/watch?v=qiSCMNBIP2g,1
Python Full Course Tutorial,Learn Skills Daily,260.9833333,11376,435,22,237,0.040172293,YouTube,https://www.youtube.com/watch?v=EIx2FzdtPmg,0
What is Python? Why it is so Popular? | Python Malayalam #1,Learn with Aji,3.6,56000,1440,129,49.20913884,0.028017857,YouTube,https://www.youtube.com/watch?v=8pWTx6lJotE,0
Day 19 Coding Till I get 4 lakh #Dsa #coding #flutter #computer  #tech #startup #internship #python,Anubhav Choubey,0.283333333,1583144,28910,984,6794.609442,0.018882679,YouTube,https://www.youtube.com/watch?v=dIjQjLFTXUw,1
Lecture 1: Introduction to CS and Programming Using Python,MIT OpenCourseWare,63.5,1757123,39738,867,2758.434851,0.023108798,YouTube,https://www.youtube.com/watch?v=xAcTmDO6NTI,1
Complete Python Developer Roadmap 2026 ( Zero to Expert ) in Telugu,CynoHub,11.86666667,76892,3331,135,330.0085837,0.045076211,YouTube,https://www.youtube.com/watch?v=wr1SOiMSics,0
🐍What is Python? என்றால் என்ன? | Why Python is So Popular? kaashiv infotech reviews #python #kaashiv,KaaShiv InfoTech,0.633333333,71881,2728,23,167.9462617,0.038271588,YouTube,https://www.youtube.com/watch?v=WPmSnEt4LCw,0
Python Full Course For Data Engineers [6+ HOURS],Ansh Lamba,327.0833333,197125,3509,428,921.1448598,0.019972099,YouTube,https://www.youtube.com/watch?v=ZvU7lupoXQE,1
How to Make a Golden Cyclone | Python full course 2025 | Python Turtle Art | Python for Beginners,PythonMarg | Creative Python Projects,0.266666667,2777,26,16,37.02666667,0.015124235,YouTube,https://www.youtube.com/watch?v=yTn-rudmZJk,0
Python in Kannada - Introduction to Coding and Python | Full Course for Beginners - #1,Engineering in Kannada,30.65,823918,38668,4750,1727.291405,0.052696992,YouTube,https://www.youtube.com/watch?v=8c74mXV2lJ0,1
Java Vs Python                                           #developer #python #java #developer #fyp,Codemyhobby,0.2,611782,7570,166,394.9528728,0.012645027,YouTube,https://www.youtube.com/watch?v=DKINa6DHeY0,1
Python Object Oriented Programming (OOP) - Full Course for Beginners,freeCodeCamp.org,156.4166667,298045,6380,162,866.4098837,0.021949706,YouTube,https://www.youtube.com/watch?v=iLRZi0Gu8Go,1
Python Introduction in Telugu | Python Course in Telugu | Python Tutorials in Telugu | PythonLife,PythonLife,5.9,258475,5344,72,260.2970796,0.020953671,YouTube,https://www.youtube.com/watch?v=ZkndfcIyxMM,1
Learn Python OOP in under 20 Minutes,Indently,18.53333333,484683,16463,289,977.1834677,0.034562797,YouTube,https://www.youtube.com/watch?v=rLyYb7BFgQI,1
Advanced Computer Vision with Python - Full Course,freeCodeCamp.org,400.6833333,1940086,64889,1061,1150.02134,0.033993338,YouTube,https://www.youtube.com/watch?v=01sAkU_NvOY,1
python interview questions #3 | python full course in telugu | omkar sir,SOR Tutorials,0.183333333,1597,23,8,3.943209877,0.019411396,YouTube,https://www.youtube.com/watch?v=azXMLyXnEjc,0
10 Important Python Concepts In 20 Minutes,Indently,18.81666667,1150504,34377,372,2216.770713,0.030203285,YouTube,https://www.youtube.com/watch?v=Gx5qb1uHss4,1
Introduction to Python Course | Python for beginners,Jenny's Lectures CS IT,3.566666667,1680066,19340,584,1363.689935,0.011859058,YouTube,https://www.youtube.com/watch?v=6i3EGqOBRiU,1
Algorithmic Trading Using Python - Full Course,freeCodeCamp.org,273.05,3074499,78902,2178,1652.068243,0.026371776,YouTube,https://www.youtube.com/watch?v=xfzGZB4HhEE,1
Python Full Course for Absolute Beginners – Part 1,Code With Lasa,5.716666667,81,3,4,3.681818182,0.086419753,YouTube,https://www.youtube.com/watch?v=a1O9i2TKumc,0
Python Tutorial for Beginners | Learn Python in 1.5 Hours,Apna College,77.2,11709838,268136,8055,7816.981308,0.023586236,YouTube,https://www.youtube.com/watch?v=vLqTf2b6GZw,1
Python Malayalam Tutorial | Full Beginner Course Explained,Entri Coding മലയാളം ,76.2,10262,336,29,270.0526316,0.035568115,YouTube,https://www.youtube.com/watch?v=KorR0O7kiEk,0
Python Full Course For Beginners: Zero to Hero in 3 Hours,Greg Hogg,188.8333333,144078,2729,82,108.9848714,0.019510265,YouTube,https://www.youtube.com/watch?v=NakyjvSrTIQ,1
Lecture 4 : Dictionary & Set in Python | Python Full Course,Shradha Khapra,54.53333333,2387071,31761,1188,3371.569209,0.013803108,YouTube,https://www.youtube.com/watch?v=078tYSD7K8E,1
Lecture 2 : Strings & Conditional Statements | Python Full Course,Shradha Khapra,55.68333333,4243071,55569,2872,5967.751055,0.013773279,YouTube,https://www.youtube.com/watch?v=lIId8IDP6TU,1
Python Tutorial - Python Full Course For Beginners 2023 [Bangla],Hablu Programmer,667.0666667,848636,30660,3168,880.3278008,0.039861613,YouTube,https://www.youtube.com/watch?v=1mLmW0sTzjw,1
Complete Python for beginners in Hindi - Part 1,Chai aur Code,622.1166667,1404243,29688,1640,2059.007331,0.022309529,YouTube,https://www.youtube.com/watch?v=v9bOWjwdTlg,1
Lec-1: What is Python? Introduction to Python 🐍 | Why Python | Where Python is used..,Gate Smashers,7.633333333,1136370,20017,684,929.1659853,0.018216778,YouTube,https://www.youtube.com/watch?v=XIR20HH8mNY,1
Python Object Oriented Programming Full Course 🐍,Bro Code,125.8333333,301481,8335,266,548.1472727,0.028529161,YouTube,https://www.youtube.com/watch?v=IbMDCwVm63M,1
"𝟏𝟐 𝐇𝐨𝐮𝐫𝐬 𝐏𝐲𝐭𝐡𝐨𝐧 𝐌𝐚𝐬𝐭𝐞𝐫𝐜𝐥𝐚𝐬𝐬 in Tamil | For Freshers, Data Engineers, Analysts & Scientists!",Data Engineering,719.9333333,696850,19110,2571,2977.991453,0.031112865,YouTube,https://www.youtube.com/watch?v=HAxm8n9QY50,1
